iter	RMSE
0	46.99122578
1	46.35993624
2	45.84801746
3	45.34982596
4	44.97844849
5	44.54846989
6	44.15109009
7	43.78036592
8	43.47657566
9	43.13380595
10	42.79593888
11	42.59938624
12	42.35783502
13	42.1542075
14	41.96144416
15	41.74630493
16	41.51656318
17	41.40392257
18	41.20474437
19	41.05913913
20	40.91416471
21	40.8299255
22	40.7174471
23	40.60606038
24	40.50556091
25	40.3908076
26	40.30306464
27	40.25083018
28	40.17039638
29	40.10545961
30	40.04014924
31	39.94803666
32	39.91174757
33	39.86137892
34	39.81057096
35	39.75604488
36	39.72937168
37	39.66816305
38	39.63279307
39	39.58812305
40	39.52204568
41	39.45862045
42	39.42648834
43	39.39382072
44	39.36050003
45	39.33492957
46	39.31683226
47	39.28098199
48	39.24296508
49	39.22053066
50	39.19565563
51	39.17114307
52	39.15181579
53	39.12690491
54	39.094115
55	39.06080935
56	39.03727721
57	39.01600021
58	39.00137853
59	38.96399497
60	38.94868424
61	38.93102342
62	38.90949266
63	38.89547851
64	38.87366974
65	38.85816948
66	38.84259093
67	38.83386167
68	38.8200876
69	38.79675282
70	38.7808278
71	38.77059252
72	38.75476006
73	38.74067433
74	38.72326025
75	38.71004763
76	38.69608807
77	38.68485354
78	38.67514922
79	38.66445606
80	38.65443946
81	38.64283796
82	38.63153653
83	38.62312545
84	38.61791854
85	38.60687678
86	38.5915477
87	38.58503138
88	38.57421964
89	38.56856469
90	38.55614273
91	38.54919718
92	38.52964229
93	38.51781012
94	38.51361352
95	38.50859821
96	38.49295089
97	38.48573501
98	38.47638305
99	38.47187778
100	38.46275707
101	38.45704752
102	38.44850834
103	38.4419994
104	38.43583433
105	38.42875404
106	38.4205594
107	38.41732663
108	38.40494914
109	38.3986755
110	38.39460461
111	38.38304592
112	38.38016221
113	38.37316996
114	38.35949205
115	38.35177434
116	38.34297033
117	38.33864838
118	38.33059478
119	38.31803911
120	38.31125847
121	38.30638053
122	38.30551834
123	38.30063847
124	38.29478636
125	38.29346619
126	38.28760823
127	38.28293238
128	38.27452898
129	38.26402566
130	38.26053956
131	38.25798604
132	38.25215814
133	38.24632303
134	38.24398842
135	38.2379797
136	38.23319764
137	38.2289772
138	38.2226437
139	38.21982787
140	38.21825085
141	38.2125616
142	38.2061002
143	38.2013473
144	38.19386964
145	38.18529435
146	38.1811173
147	38.1792835
148	38.17560923
149	38.17191343
150	38.16772414
151	38.15738837
152	38.15347562
153	38.14954614
154	38.13984456
155	38.13416822
156	38.13160926
157	38.13062994
158	38.12781159
159	38.12662681
160	38.11709484
161	38.10965632
162	38.10775465
163	38.1068743
164	38.10413419
165	38.09747673
166	38.09273538
167	38.08824526
168	38.08499681
169	38.07151818
170	38.06770237
171	38.06660274
172	38.06200754
173	38.05826203
174	38.05772973
175	38.04908233
176	38.04792936
177	38.03996965
178	38.03737825
179	38.03316783
180	38.03144526
181	38.03041106
182	38.02958263
183	38.02830877
184	38.02465488
185	38.01999325
186	38.01748058
187	38.01412295
188	38.01273775
