iter	Passed	Remaining
0	10	5261
1	24	6006
2	36	6080
3	45	5683
4	52	5211
5	59	4939
6	68	4851
7	77	4786
8	84	4633
9	91	4462
10	98	4397
11	102	4185
12	109	4105
13	116	4057
14	121	3942
15	130	3958
16	136	3891
17	141	3778
18	149	3791
19	155	3734
20	164	3752
21	168	3657
22	174	3620
23	182	3614
24	187	3555
25	196	3585
26	202	3539
27	208	3522
28	214	3482
29	220	3458
30	238	3609
31	246	3600
32	259	3676
33	265	3643
34	273	3635
35	279	3600
36	283	3543
37	292	3550
38	298	3529
39	306	3522
40	311	3490
41	322	3515
42	328	3486
43	335	3473
44	342	3458
45	350	3463
46	356	3433
47	361	3408
48	371	3419
49	376	3391
50	383	3379
51	389	3352
52	393	3318
53	399	3303
54	405	3279
55	410	3254
56	416	3238
57	423	3226
58	431	3226
59	440	3232
60	446	3215
61	454	3212
62	459	3186
63	466	3180
64	471	3158
65	476	3133
66	483	3123
67	486	3091
68	491	3067
69	498	3060
70	502	3037
71	506	3011
72	513	3001
73	517	2981
74	522	2960
75	530	2957
76	534	2938
77	539	2918
78	546	2910
79	551	2896
80	556	2877
81	562	2868
82	567	2850
83	571	2832
84	576	2816
85	581	2798
86	585	2779
87	591	2770
88	596	2754
89	600	2736
90	609	2738
91	613	2719
92	617	2704
93	628	2716
94	632	2695
95	636	2677
96	644	2676
97	649	2662
98	655	2655
99	660	2642
100	665	2629
101	672	2622
102	676	2607
103	682	2596
104	688	2589
105	692	2575
106	699	2567
107	703	2554
108	708	2542
109	713	2528
110	718	2519
111	724	2509
112	728	2493
113	732	2480
114	739	2476
115	744	2465
116	751	2459
117	758	2455
118	763	2442
119	770	2440
120	775	2428
121	779	2414
122	783	2402
123	788	2391
124	793	2379
125	795	2361
126	803	2358
127	807	2347
128	812	2336
129	821	2337
130	866	2441
131	877	2445
132	893	2465
133	905	2474
134	914	2472
135	921	2466
136	929	2461
137	934	2451
138	939	2440
139	944	2429
140	949	2418
141	956	2410
142	964	2407
143	969	2397
144	974	2386
145	981	2379
146	986	2367
147	989	2353
148	996	2346
149	1000	2335
150	1005	2323
151	1012	2318
152	1017	2308
153	1022	2296
154	1029	2292
155	1034	2281
156	1042	2277
157	1046	2265
158	1051	2255
159	1057	2246
160	1063	2238
161	1067	2227
162	1073	2220
163	1076	2205
164	1079	2192
165	1084	2181
166	1093	2179
167	1097	2169
168	1104	2162
169	1109	2153
170	1113	2142
171	1116	2128
172	1122	2122
173	1126	2111
174	1129	2097
175	1136	2091
176	1139	2079
177	1144	2070
178	1149	2062
179	1156	2056
180	1161	2046
181	1164	2034
182	1169	2026
183	1174	2016
184	1179	2008
185	1187	2004
186	1190	1993
187	1195	1983
188	1201	1976
189	1204	1964
190	1209	1956
191	1215	1950
192	1220	1941
193	1224	1931
194	1231	1925
195	1236	1918
196	1241	1909
197	1249	1905
198	1255	1899
