scientific_name,order,order_num,family,family_num,genus,genus_num,species,early_interval,late_interval,max_age_mya,min_age_mya,country,state,longitude,latitude,latlng_basis,latlng_precision,formation,stratigraphy_scale,lithology,environment,assembly_composition,preservation_mode,collection_name,collection_type,life_habit,vision,diet,time_period,preservation_mode_count,presevation_mode_count_scaled,order_num_scaled,diet_scaled,country_scaled
Australosutura llanoensis,Proetida,21062,Brachymetopidae,56732,Australosutura,21084,llanoensis,Ivorian,,353.7,346.7,US,Texas,-98.980003,31.17,based on nearby landmark,2,Chappel Limestone,bed,limestone,basinal (carbonate),macrofossils,body,"USNM 9047, Jack Sloan Ranch",taxonomic,low-level epifaunal,well-developed,detritivore,Carboniferous,1,-0.03391346657626163,-0.3623829276467828,1,42
Eldredgeops rana,Phacopida,21421,Phacopidae,56891,Eldredgeops,21555,rana,Givetian,,387.95,382.31,US,New York,-77.837502,42.830555,based on nearby landmark,seconds,Ludlowville,bed,limestone,deep subtidal ramp,,body,"Hills Gulch bed, Jaycox Run, Jaycox Member, Livingston Co., NY",biostratigraphic,low-level epifaunal,well-developed,carnivore,Devonian,1,-0.03391346657626163,-0.3591643827666484,0,42
Olenellus nevadensis,Redlichiida,19346,Olenellidae,90394,Olenellus,19149,nevadensis,Dyeran,,515.3,509.7,US,California,-116.225555,35.848331,based on nearby landmark,seconds,Carrara,group of beds,limestone,transition zone/lower shoreface,macrofossils,body,Emigrant Pass. Biceratopsinae n. gen 1. n. sp.2 occurrence zonule,biostratigraphic,low-level epifaunal,well-developed,detritivore,Cambrian,1,-0.03391346657626163,-0.3777673928677036,1,42
Warburgella (Rugulites) rugulosa,Proetida,21062,Proetidae,56726,Warburgella (Rugulites),21405,rugulosa,Lochkovian,,419.62,413.02,EU,,14.183333,49.933334,based on political unit,minutes,Kotys Limestone,,limestone,marine indet.,macrofossils,body,"Pure limestone facies, Lochkovian, Barrandian S-D boundary section",biostratigraphic,low-level epifaunal,well-developed,detritivore,Devonian,1,-0.03391346657626163,-0.3623829276467828,1,13
Pandaspinapyga dactyla,Phacopida,21421,Cheiruridae,85334,Pandaspinapyga,21678,dactyla,Chazyan,,471.3,457.3,CA,Northwest Territories,-125.73333,61.633331,estimated from map,minutes,Esbataottine,bed,limestone,deep subtidal indet.,"macrofossils,microfossils","body,replaced with silica",Sunblood Mountain Calyptaulax-Ceraurinella Biofacies (A-125),biostratigraphic,low-level epifaunal,,carnivore,Ordovician,2,1.2126854649529348,-0.3591643827666484,0,9
Warburgella (Rugulites) eureka,Proetida,21062,Proetidae,56726,Warburgella (Rugulites),21405,eureka,Lochkovian,,419.62,413.02,US,Nevada,-116.283333,39.933334,estimated from map,minutes,Roberts Mountains,bed,limestone,open shallow subtidal,macrofossils,"body,original calcite","Birch Creek, Roberts Mountains, Nevada",taxonomic,low-level epifaunal,well-developed,detritivore,Devonian,2,1.2126854649529348,-0.3623829276467828,1,42
Nyella plana,Ptychopariida,20239,Ptychopariidae,80681,Palmerara,353534,plana,St Davids,,506.5,497.0,US,Nevada,-114.409447,37.90139,stated in text,seconds,Pioche Shale,bed,limestone,carbonate indet.,macrofossils,body,"USNM 41768, Susan Duster Limestone Mbr, Pioche Hills",taxonomic,low-level epifaunal,well-developed,carnivore,,1,-0.03391346657626163,-0.3697613745446953,0,42
Notopeltis orthometopa,Asaphida,19834,Asaphidae,82596,Notopeltis,20086,orthometopa,Tremadoc,,486.4,477.1,AR,,-65.383331,-24.799999,based on nearby landmark,minutes,Aspero,bed,sandstone,coastal indet.,macrofossils,,"Level Y, Cerro San Bernardo, Sierra de Mojotoro",taxonomic,low-level epifaunal,well-developed,carnivore,Ordovician,0,-1.280512398105458,-0.37339232350417834,0,3
Lonchocephalus chippewaensis,Ptychopariida,20239,Lonchocephalidae,133815,Lonchocephalus,20672,minuta,Trempealeauan,,490.2,486.85,US,New York,-73.460281,44.048611,estimated from map,seconds,Keeseville,group of beds,sandstone,marine indet.,macrofossils,body,Loc. 136a. Large brook at point of Mineville Railroad at the turning of the first Y near Port Henry,taxonomic,low-level epifaunal,well-developed,carnivore,Cambrian,1,-0.03391346657626163,-0.3697613745446953,0,42
Greenops boothi,Phacopida,21421,Acastidae,56892,Greenops,21588,boothi,Givetian,,387.95,382.31,US,New York,-76.739998,42.689999,estimated from map,2,Moscow,,not reported,offshore,,,BoTau5,paleoecologic,low-level epifaunal,well-developed,carnivore,Devonian,0,-1.280512398105458,-0.3591643827666484,0,42
Illaenus consimilis,Corynexochida,19472,Illaenidae,124262,Illaenus,19582,consimilis,Chazyan,,471.3,457.3,CA,Newfoundland and Labrador,-57.535557,50.356945,estimated from map,seconds,Table Cove,,limestone,slope,macrofossils,body,Table Cove,taxonomic,nektobenthic,well-developed,carnivore,Ordovician,1,-0.03391346657626163,-0.37663776430253115,0,9
